No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
S34 ,Sandstone,Bir el-Kanayis ,25.00417,33.30001,Sandstone,P/GR ,2,,,,,,,,,,,,,,
S35 ,Sandstone,Nag el-Hammam - S ,24.66601,32.92501,Sandstone,P ,2,,,,,,,,,,,,,,
S36 ,Sandstone,Bahariya Oasis ,28.34701,28.85583,Sandstone,GR ,U,,,,,,,,,,,,,,
S37 ,Sandstone,Dakla Oasis ,25.68167,28.83833,Sandstone,GR ,U,,,,,,,,,,,,,,
S38 ,Sandstone,Saint Simeon ,24.09467,32.87567,Sandstone,P ,I,,,,,,,,,,,,,,
,,,29.871215,31.216644,,,,Djoser,Hiemlender,Step Pyramid of Djoser,3,Saqqara,121,109,60,,330.4,Step,XXXII,Mudbrick,
,,,29.866,31.213,,,,Sekhemkhet,-,Buried Pyramid,3,Saqqara,120,120,70,,33.6,Step,,Mudbrick,(unfinished)
,,,29.93282,31.161262,,,,Khaba (?),-,Layer Pyramid,3,Zawyet el'Aryan,84,84,40,,47.04,Step,XIV,Mudbrick,(unfinished)
,,,30.040833,31.094444,,,,Huni,-,Pyramid Lepsius I,3,Abu Rawash,215,215,145,,,Step,I,Mudbrick,totally ruined
,,,30.470556,31.188056,,,,Huni (?),-,Pyramid of Athribis,3,Athribis,20,20,16,50,,Step,,Mudbrick,
,,,24.085556,32.885278,,,,Huni (?),-,Pyramid of Elephantine,3,Elephantine,18,18,10.5,82,,Step,,Rose Granite,
